順位(プライム内),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
228,910,6744,能美防災(株),東証PRM,"4,205",-10,-0.24,"122,600",04/03
229,915,2533,オエノンホールディングス(株),東証PRM,435,-1,-0.23,"43,100",04/03
230,918,6237,(株)イワキ,東証PRM,"2,614",-6,-0.23,"15,900",04/03
231,922,9997,(株)ベルーナ,東証PRM,877,-2,-0.23,"191,400",04/03
232,926,3106,クラボウ,東証PRM,"9,010",-20,-0.22,"26,700",04/03
233,928,4681,リゾートトラスト(株),東証PRM,"1,802.5",-4,-0.22,"288,600",04/03
234,929,5302,日本カーボン(株),東証PRM,"4,640",-10,-0.22,"32,700",04/03
235,930,7181,(株)かんぽ生命保険,東証PRM,"1,619.5",-3.5,-0.22,"1,850,500",04/03
236,934,4538,扶桑薬品工業(株),東証PRM,"2,360",-5,-0.21,"8,300",04/03
237,935,4612,日本ペイントホールディングス(株),東証PRM,984.8,-2.1,-0.21,"2,184,200",04/03
238,936,5451,(株)ヨドコウ,東証PRM,"1,406",-3,-0.21,"579,500",04/03
239,938,7203,トヨタ自動車(株),東証PRM,"3,255",-7,-0.21,"11,056,900",04/03
240,940,7846,(株)パイロットコーポレーション,東証PRM,"4,867",-10,-0.21,"78,500",04/03
241,943,1780,(株)ヤマウラ,東証PRM,"1,507",-3,-0.2,"35,700",04/03
242,947,3486,(株)グローバル・リンク・マネジメント,東証PRM,"2,009",-4,-0.2,"89,400",04/03
243,949,3765,ガンホー・オンライン・エンターテイメント(株),東証PRM,"2,541",-5,-0.2,"163,800",04/03
244,951,4776,サイボウズ(株),東証PRM,"2,033",-4,-0.2,"325,300",04/03
245,953,7868,(株)広済堂ホールディングス,東証PRM,501,-1,-0.2,"501,400",04/03
246,954,8091,ニチモウ(株),東証PRM,"2,549",-5,-0.2,"14,100",04/03
247,960,2908,フジッコ(株),東証PRM,"1,594",-3,-0.19,"20,900",04/03
248,967,6533,(株)Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,東証PRM,"1,035",-2,-0.19,"7,200",04/03
249,975,3993,(株)ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,東証PRM,"2,835",-5,-0.18,"184,100",04/03
250,980,7914,共同印刷(株),東証PRM,"1,619",-3,-0.18,"66,300",04/03
251,982,9381,(株)エーアイテイー,東証PRM,"2,227",-4,-0.18,"13,700",04/03
252,983,9663,(株)ナガワ,東証PRM,"5,660",-10,-0.18,"21,000",04/03
253,985,2053,中部飼料(株),東証PRM,"1,775",-3,-0.17,"41,700",04/03
254,986,2206,江崎グリコ(株),東証PRM,"5,948",-10,-0.17,"109,800",04/03
255,988,3153,八洲電機(株),東証PRM,"2,950",-5,-0.17,"27,200",04/03
256,993,5122,オカモト(株),東証PRM,"6,020",-10,-0.17,"11,500",04/03
257,994,5357,(株)ヨータイ,東証PRM,"1,799",-3,-0.17,"20,900",04/03
258,996,7250,太平洋工業(株),東証PRM,"3,020",-5,-0.17,"18,100",04/03
259,997,7459,(株)メディパルホールディングス,東証PRM,"3,010",-5,-0.17,"323,700",04/03
260,999,7952,(株)河合楽器製作所,東証PRM,"3,005",-5,-0.17,"39,700",04/03
261,1001,8159,(株)立花エレテック,東証PRM,"2,915",-5,-0.17,"36,700",04/03
262,1002,1833,(株)奥村組,東証PRM,"6,440",-10,-0.16,"44,200",04/03
263,1004,2264,森永乳業(株),東証PRM,"4,971",-8,-0.16,"246,800",04/03
264,1005,2897,日清食品ホールディングス(株),東証PRM,"3,083",-5,-0.16,"742,600",04/03
265,1010,4218,ニチバン(株),東証PRM,"1,893",-3,-0.16,"14,300",04/03
266,1015,9037,(株)ハマキョウレックス,東証PRM,"1,838",-3,-0.16,"55,500",04/03
267,1017,1879,新日本建設(株),東証PRM,"1,963",-3,-0.15,"122,700",04/03
268,1019,3156,(株)レスター,東証PRM,"2,716",-4,-0.15,"27,400",04/03
269,1021,4204,積水化学工業(株),東証PRM,"2,648",-4,-0.15,"1,357,100",04/03
270,1022,5142,アキレス(株),東証PRM,"1,358",-2,-0.15,"21,300",04/03
271,1025,6194,(株)アトラエ,東証PRM,668,-1,-0.15,"23,000",04/03
272,1026,6758,ソニーグループ(株),東証PRM,"3,324",-5,-0.15,"5,555,300",04/03
273,1031,1963,日揮ホールディングス(株),東証PRM,"2,469.5",-3.5,-0.14,"3,763,800",04/03
274,1034,4095,日本パーカライジング(株),東証PRM,"1,460",-2,-0.14,"109,000",04/03
275,1035,4331,(株)テイクアンドギヴ・ニーズ,東証PRM,704,-1,-0.14,"29,300",04/03
276,1036,4674,(株)クレスコ,東証PRM,"1,446",-2,-0.14,"75,400",04/03
277,1037,5195,バンドー化学(株),東証PRM,"2,087",-3,-0.14,"21,300",04/03
278,1039,8037,カメイ(株),東証PRM,"3,450",-5,-0.14,"34,000",04/03
279,1042,92025,ＡＮＡホールディングス（株）第１回社債型種類株式,東証PRM,"4,910",-7,-0.14,"3,600",04/03
280,1043,1926,ライト工業(株),東証PRM,"3,935",-5,-0.13,"127,800",04/03
281,1050,8418,(株)山口フィナンシャルグループ,東証PRM,"2,595.5",-3.5,-0.13,"337,500",04/03
282,1051,9110,ＮＳユナイテッド海運(株),東証PRM,"7,550",-10,-0.13,"23,400",04/03
283,1054,1882,東亜道路工業(株),東証PRM,"1,733",-2,-0.12,"167,800",04/03
284,1056,4249,森六(株),東証PRM,"2,426",-3,-0.12,"7,500",04/03
285,1058,7236,(株)ティラド,東証PRM,"8,050",-10,-0.12,"9,100",04/03
286,1061,8007,高島(株),東証PRM,816,-1,-0.12,"37,400",04/03
287,1064,8860,フジ住宅(株),東証PRM,821,-1,-0.12,"25,800",04/03
288,1065,9629,ピー・シー・エー(株),東証PRM,"1,685",-2,-0.12,"42,600",04/03
289,1066,9744,(株)メイテックグループホールディングス,東証PRM,"3,278",-4,-0.12,"152,600",04/03
290,1071,3762,テクマトリックス(株),東証PRM,"1,811",-2,-0.11,"277,300",04/03
291,1073,4114,(株)日本触媒,東証PRM,"2,253.5",-2.5,-0.11,"489,400",04/03
292,1074,4384,ラクスル(株),東証PRM,"1,885",-2,-0.11,"127,100",04/03
293,1077,6586,(株)マキタ,東証PRM,"5,293",-6,-0.11,"568,200",04/03
294,1081,7552,(株)ハピネット,東証PRM,"2,718",-3,-0.11,"111,100",04/03
295,1082,8377,(株)ほくほくフィナンシャルグループ,東証PRM,"6,203",-7,-0.11,"289,400",04/03
296,1087,2809,キユーピー(株),東証PRM,"4,101",-4,-0.1,"228,700",04/03
